ID,Label,Layer,TSNE_1,TSNE_2,Pred_Prob
sp|Q05973|SCN1_HETBL,1,Input_Layer,17.019596,7.7474985,0.9951755
sp|Q0V9Z3|PACC1_XENTR,0,Input_Layer,-11.164895,19.702713,0.0011968652
sp|Q25011|FANA_CORAP,0,Input_Layer,-9.09638,18.294722,0.0032506553
sp|Q9LD37|CNG20_ARATH,0,Input_Layer,17.488579,-14.597182,0.005793711
sp|F4I248|CSCLB_ARATH,0,Input_Layer,15.813436,-4.1684527,0.0019607842
sp|P19334|TRP_DROME,0,Input_Layer,-0.074625276,0.1136118,0.00027085643
sp|P31069|KCH_ECOLI,0,Input_Layer,6.5810237,12.268083,0.000685282
sp|D3Z291|CAHM1_MOUSE,1,Input_Layer,11.383004,20.261703,0.9699966
sp|Q19907|TWK12_CAEEL,0,Input_Layer,0.1638938,5.840274,0.0042799637
sp|P56699|CAC1E_DIPOM,1,Input_Layer,-5.914415,-11.679924,0.9982704
sp|Q7Z404|TMC4_HUMAN,0,Input_Layer,9.715084,-1.0697782,0.00024751993
sp|Q9VL84|PPK11_DROME,0,Input_Layer,-9.671678,20.34482,0.0054680374
sp|Q13936|CAC1C_HUMAN,1,Input_Layer,-6.4153576,-13.290775,0.99731547
sp|Q9JIS7|CAC1F_MOUSE,1,Input_Layer,-5.753957,-13.675527,0.99746275
sp|Q8BFU8|VGLU3_MOUSE,0,Input_Layer,-5.274783,0.8607926,0.004473945
sp|Q86XQ3|CTSR3_HUMAN,1,Input_Layer,3.6599703,-11.686563,0.99706584
sp|Q6H1V1|BEST3_MOUSE,0,Input_Layer,-6.360398,-3.4150867,0.004185476
sp|Q24498|RYR_DROME,0,Input_Layer,2.1985345,-22.54812,0.01297552
sp|O27564|MTHK_METTH,0,Input_Layer,4.646252,15.599906,0.0016681547
sp|P0DTC3|AP3A_SARS2,0,Input_Layer,15.381066,-23.089603,0.0047479277
sp|Q01118|SCN7A_HUMAN,1,Input_Layer,18.464933,7.479211,0.9946608
sp|Q6GM04|TTY1B_XENLA,0,Input_Layer,8.694187,-5.2281265,0.0014622688
sp|Q96ER9|MITOK_HUMAN,0,Input_Layer,14.559202,0.97741693,0.0048930915
sp|P9WP63|FLUC1_MYCTU,0,Input_Layer,14.864197,13.077047,0.0023250873
sp|Q5FKD2|FLUC1_LACAC,0,Input_Layer,13.736428,14.798964,0.0052518887
sp|A5X5Y0|5HT3E_HUMAN,0,Input_Layer,5.8356733,-15.578003,0.0018302544
sp|Q64347|CLCN1_MOUSE,1,Input_Layer,9.597321,-11.36047,0.99725765
sp|Q9H3M0|KCNF1_HUMAN,1,Input_Layer,-2.602076,-3.0450735,0.9980768
sp|P0C0S1|MSCS_ECOLI,0,Input_Layer,8.445838,13.891786,0.0033743873
sp|Q21973|BST15_CAEEL,0,Input_Layer,-8.921922,2.1632957,0.001691618
sp|O13263|SCNNH_XENLA,0,Input_Layer,-5.199424,18.998713,0.005923517
sp|Q7NDN8|GLIC_GLOVI,0,Input_Layer,-15.363924,15.533936,0.003210277
sp|Q99572|P2RX7_HUMAN,0,Input_Layer,-2.7555566,21.217545,0.0060065812
sp|Q708S3|ASI4B_DANRE,0,Input_Layer,-3.4577174,18.974813,0.002218489
sp|A0A2R8Q3S9|CLCC1_DANRE,0,Input_Layer,3.9323988,23.96535,0.0058433586
sp|Q8CE93|CAHM4_MOUSE,0,Input_Layer,11.916501,21.952402,0.0040215477
sp|Q9R244|TRPC2_MOUSE,0,Input_Layer,1.8298837,-5.273255,0.00045501525
sp|Q6UXY8|TMC5_HUMAN,0,Input_Layer,6.5546365,1.8887552,0.008171124
sp|D3KZG3|TMC1_CAEEL,0,Input_Layer,3.414405,2.7964413,0.0032228075
sp|O65718|CNGC2_ARATH,1,Input_Layer,17.353745,-14.858351,0.9673172
sp|Q8I4B0|KCNSK_CAEEL,1,Input_Layer,-3.4231756,-1.0662632,0.9884113
sp|P37002|FLUC_ECOLI,0,Input_Layer,13.77736,13.258613,0.0020030465
sp|Q84M97|MSL9_ARATH,0,Input_Layer,17.211298,-10.891226,0.00037941855
sp|P58735|S26A1_MOUSE,0,Input_Layer,7.7210546,-11.169797,0.0043247314
sp|Q8RXR2|CLCF_ARATH,1,Input_Layer,20.12958,-8.090849,0.9940949
sp|Q9VAS7|INX3_DROME,0,Input_Layer,-20.278593,12.163325,0.0041389475
sp|O81776|GLR24_ARATH,0,Input_Layer,21.723179,-1.4295995,0.00341482
sp|P78334|GBRE_HUMAN,0,Input_Layer,-12.84693,6.8670797,0.001517562
sp|E9NA96|IR25A_DROME,0,Input_Layer,-5.037391,8.822939,0.0034826414
sp|O01634|INX12_CAEEL,0,Input_Layer,-21.088737,10.916494,0.005449988
sp|Q5YCC7|TMC3_CHICK,0,Input_Layer,3.927248,1.8985511,0.01958446
sp|P0AAT4|YBDG_ECOLI,0,Input_Layer,9.052165,-19.215925,0.00968764
sp|Q03720|SLO_DROME,1,Input_Layer,-8.900242,-14.876556,0.9980021
sp|A6H7B0|PLLP_BOVIN,0,Input_Layer,-3.3216915,-25.019003,0.0026479808
sp|Q96S66|CLCC1_HUMAN,0,Input_Layer,4.1019406,23.874395,0.0046069543
sp|Q96RD6|PANX2_HUMAN,0,Input_Layer,2.041589,-1.5543226,0.01707035
sp|Q9YDF8|KVAP_AERPE,1,Input_Layer,3.3083198,15.3419695,0.9965293
sp|P10861|UCP1_BOVIN,0,Input_Layer,-5.981829,0.63650155,0.0040040985
sp|Q9JLF1|GBRT_MOUSE,0,Input_Layer,-14.934517,11.709038,0.0064476654
sp|Q1PE15|MCU4_ARATH,0,Input_Layer,23.50514,-4.9311275,0.0021341466
sp|Q9NTG1|PKDRE_HUMAN,0,Input_Layer,10.756059,2.418252,0.0050543384
sp|Q86LG1|PPK28_DROME,0,Input_Layer,-8.035588,19.615538,0.003728619
sp|G5EFC3|KCNAG_CAEEL,1,Input_Layer,-3.8619382,-2.377378,0.9972832
sp|Q9P0X4|CAC1I_HUMAN,1,Input_Layer,-4.3241053,-12.057258,0.9991061
